categories,name,distance,country,state,station_location,station_near
13034,Pilot Coffee Roasters,149,CA,ON,"43.665269, -79.319796","43.665269,-79.319796"
13068,Cactus Club Cafe,143,CA,ON,"43.671420, -79.445947","43.67142,-79.445947"
13027,Beer Bistro,231,CA,ON,"43.666224, -79.317693","43.666224,-79.317693"
13006,CRAFT Beer Market Toronto,141,CA,ON,"43.653236, -79.376716","43.653236,-79.376716"
13383,The Keg Steakhouse + Bar,329,CA,ON,"43.663722, -79.380288","43.663722,-79.380288"
13263,Chotto Matte,403,CA,ON,"43.657763, -79.389165","43.657763,-79.389165"
13064,Terroni,368,CA,ON,"43.656729, -79.382736","43.656729,-79.382736"
13018,Walrus Pub & Beer Hall,294,CA,ON,"43.664467, -79.414783","43.664467,-79.414783"
13297,Leña Restaurante,201,CA,ON,"43.675492, -79.388858","43.675492,-79.388858"
13177,Estiatorio Volos,366,CA,ON,"43.674991, -79.396273","43.674991,-79.396273"
13057,King Taps,236,CA,ON,"43.671944, -79.387778","43.671944,-79.387778"
13034,Cafe Landwer,453,CA,ON,"43.662365, -79.351104","43.662365,-79.351104"
13049,Booster Juice,320,CA,ON,"43.646144, -79.377962","43.646144,-79.377962"
13006,Wvrst Union Station,570,CA,ON,"43.663993, -79.358534","43.663993,-79.358534"
13064,Pizzeria Libretto,450,CA,ON,"43.657266, -79.374756","43.657266,-79.374756"
13072,Bosk,480,CA,ON,"43.667214, -79.345270","43.6672144,-79.3452697"
13383,The Keg Steakhouse + Bar,557,CA,ON,"43.673939, -79.441159","43.673939,-79.441159"
13016,Lobby Lounge at the Shangri-La Toronto,534,CA,ON,"43.657991, -79.340075","43.657991,-79.340075"
13302,Byblos,722,CA,ON,"43.667450, -79.329408","43.66745,-79.329408"
13352,Pai,727,CA,ON,"43.672453, -79.338259","43.672453,-79.338259"
13034,HotBlack Coffee,698,CA,ON,"43.659209, -79.334840","43.6592088,-79.3348396"
13006,C'est What,555,CA,ON,"43.689211, -79.354380","43.689211,-79.35438"
13332,IQ Food Co,811,CA,ON,"43.656927, -79.378497","43.656927,-79.378497"
13272,Ikkousha Ramen,704,CA,ON,"43.658295, -79.372346","43.658295,-79.372346"
13003,Earl's Kitchen & Bar,375,CA,ON,"43.694015, -79.288984","43.6940155,-79.2889842"
13276,Miku,978,CA,ON,"43.680916, -79.422968","43.6809164,-79.4229684"
13013,Library Bar,516,CA,ON,"43.691067, -79.395350","43.6910667,-79.39535"
13272,Hokkaido Ramen Santouka,740,CA,ON,"43.697597, -79.396540","43.6975969,-79.39654"
13035,Mos Mos,949,CA,ON,"43.639832, -79.395954","43.639832,-79.395954"
13003,The Queen and Beaver Public House,877,CA,ON,"43.667158, -79.402761","43.667158,-79.402761"
13068,E11Even,849,CA,ON,"43.667333, -79.399429","43.667333,-79.399429"
13027,SOCO Kitchen + Bar,835,CA,ON,"43.648001, -79.383177","43.6480008,-79.383177"
13145,Chipotle Mexican Grill,765,CA,ON,"43.656518, -79.389099","43.656518,-79.389099"
13025,Scaddabush Italian Kitchen & Bar,726,CA,ON,"43.687999, -79.389060","43.687999,-79.38906"
13034,Aroma Espresso Bar,905,CA,ON,"43.656389, -79.451667","43.6563889,-79.45166666666667"
13034,McCafé,618,CA,ON,"43.639179, -79.399595","43.639179,-79.399595"
13065,Five Guys Burgers & Fries,793,CA,ON,"43.661667, -79.401389","43.6616667,-79.40138888888889"
13007,The Loose Moose Tap & Grill,613,CA,ON,"43.666667, -79.458333","43.66666667,-79.45833333333334"
13145,Salad King,854,CA,ON,"43.657192, -79.452559","43.657192,-79.452559"
13018,Town Crier Pub,846,CA,ON,"43.657600, -79.403200","43.6576,-79.4032"
13039,Evviva Breakfast Restaurant,976,CA,ON,"43.660694, -79.379052","43.660694,-79.379052"
13049,Jack Astor's,605,CA,ON,"43.636533, -79.395854","43.636533,-79.395854"
13022,RS - Real Sports,826,CA,ON,"43.659777, -79.382767","43.659777,-79.382767"
13068,A&W Restaurant,893,CA,ON,"43.643667, -79.380414","43.643667,-79.380414"
13383,Harbour Sixty Steakhouse,880,CA,ON,"43.666233, -79.373327","43.666233,-79.373327"
13000,Null,599,CA,ON,"43.640114, -79.393249","43.640114,-79.393249"
13314,JOEY Eaton Centre,693,CA,ON,"43.653766, -79.401676","43.653766,-79.4016759"
13018,Flatiron & Firkin,502,CA,ON,"43.658773, -79.443054","43.6587734,-79.443054"
13002,Marvelous by Fred,776,CA,ON,"43.653889, -79.441389","43.6538888888889,-79.4413888888889"
13032,Second Cup,671,CA,ON,"43.650833, -79.443056","43.6508333333333,-79.4430555555556"
